animal	bli_dpi	flux
14068	416	425900
14069	416	565400
14070	416	437600
14071	416	392300
14072	416	580600
14125	416	446000
14126	416	735900
14016	418	1902000
14021	418	269500
14022	418	195100
14031	418	1401000
14035	418	730700
14036	418	448722.2222222222
13982	421	595555.5555555555
13983	421	541055.5555555555
13984	421	363500
13985	421	518500
13986	421	572500
13987	421	431600
14005	421	668888.8888888889
14007	421	1048888.8888888888
13859	425	2054000
13970	425	577777.7777777778
13974	425	493700
13975	425	346000
14076	425	2282000
14077	425	748900
14121	425	547100
14123	425	232100
13865	426	261200
13866	426	264900
13867	426	420800
13960	426	899900
14046	426	282800
14049	426	401700
14125	428	350900
14126	428	343200
13954	430	493000
13955	430	830555.5555555555
13958	430	342388.8888888889
13959	430	427800
13916	431	373800
13917	431	797222.2222222222
14075	431	886200
14060	432	406833.3333333333
14061	432	437611.1111111111
14063	432	410111.1111111111
13935	433	385200
13936	433	476400
13937	433	404300
13850	435	207900
13851	435	302700
13946	435	630300
13947	435	1184000
13949	435	741400
14052	435	535300
14054	435	356277.77777777775
14055	435	416833.3333333333
14067	436	365200
14068	436	440300
14069	436	684500
14070	436	372500
14071	436	297100
14072	436	549600
14076	437	1050000
14077	437	599600
14021	438	321888.8888888889
14022	438	256100
14031	438	603800
14035	438	260500
14036	438	1587777.7777777778
14046	438	274500
14049	438	435500
13982	441	687222.2222222222
13983	441	460000
13984	441	811800
13985	441	465200
13986	441	339611.1111111111
13987	441	224800
14005	441	1292777.7777777778
14007	441	685555.5555555555
14075	443	383700
14060	444	340600
14061	444	294777.77777777775
14063	444	529500
13970	445	865000
13974	445	177888.88888888888
13975	445	535611.1111111111
13960	446	466500
14052	447	437722.2222222222
14054	447	464666.6666666666
14055	447	381722.2222222222
13859	448	1533000
14067	448	721300
14068	448	717400
14069	448	384400
14070	448	444800
14071	448	337500
14072	448	407500
13865	449	313600
13866	449	186222.22222222222
13867	449	652500
13954	450	232611.1111111111
13955	450	1452777.7777777778
13958	450	217555.55555555556
13959	450	203900
14021	450	337222.2222222222
14022	450	284700
14031	450	530200
14035	450	573700
14036	450	425500
13916	451	371000
13917	451	565555.5555555555
13935	453	271277.77777777775
13936	453	510500
13937	453	434600
13982	453	648888.8888888889
13983	453	577222.2222222222
13984	453	429200
13985	453	287200
13986	453	436055.55555555556
13987	453	415500
14005	453	566666.6666666666
14007	453	856666.6666666666
13850	455	272200
13851	455	408000
13946	455	293100
13947	455	884300
13949	455	911300
13970	457	335277.77777777775
13974	457	224555.55555555556
13975	457	454500
13960	458	463900
14121	461	343200
14123	461	256000
13954	462	424700
13955	462	349444.44444444444
13958	462	301722.2222222222
13959	462	211200
13916	463	262400
13917	463	812777.7777777778
14126	464	373500
13935	465	376300
13936	465	361000
13937	465	676900
13850	467	286000
13851	467	258900
13946	467	681200
13947	467	1057000
13949	467	629200
13859	468	2948000
13865	469	610800
13866	469	285777.77777777775
13867	469	303500
14077	473	999900
14046	474	224600
14049	474	356100
14075	479	841500
13859	480	1524444.4444444445
14060	480	371100
14061	480	502000
14063	480	948800
13865	481	257100
13866	481	194600
13867	481	461100
14052	483	610800
14054	483	1200000
14055	483	632400
14067	484	489500
14068	484	803600
14069	484	425900
14070	484	359500
14071	484	495400
14072	484	217000
14021	486	403600
14022	486	236600
14031	486	535400
14035	486	508400
14036	486	2047000
13982	489	333444.44444444444
13983	489	570000
13984	489	454400
13985	489	213100
13986	489	663333.3333333334
13987	489	400200
14005	489	367000
14007	489	782222.2222222222
13970	493	436200
13974	493	437500
13975	493	451900
13960	494	626900
13954	498	439800
13955	498	583500
13958	498	445800
13959	498	258800
13916	499	477400
13917	499	1861000
13935	501	532500
13936	501	821600
13937	501	583000
13850	503	283900
13851	503	281800
13946	503	591000
13947	503	587700
13949	503	905000
13865	517	302700
13866	517	741900
13867	517	238500
14121	553	844900
14123	553	394000
14126	556	505400
14046	566	502900
14052	568	525700
14031	571	176600
14060	572	434200
14061	572	908888.8888888889
14063	572	510944.44444444444
14077	573	1450000
13982	574	348388.8888888889
13983	574	1628333.3333333333
13984	574	169900
14005	574	5341111.111111111
14007	574	650555.5555555555
14054	575	857222.2222222222
14055	575	763888.8888888889
14067	576	1375000
14068	576	894400
14069	576	848400
14070	576	664500
14071	576	439400
14072	576	424700
14121	577	647200
14123	577	508611.1111111111
13974	578	635000
13975	578	571900
14021	578	302111.1111111111
14022	578	493400
14035	578	444600
14036	578	532900
14126	580	619400
13985	581	391100
13986	581	638888.8888888889
13987	581	392100
13954	583	332400
13970	585	838333.3333333333
13935	586	683200
13936	586	1274000
13937	586	365000
13960	586	826000
14077	589	1336000
13958	590	276600
13959	590	205200
14046	590	828000
13916	591	547500
13917	591	478800
13850	595	173000
